sample	repeats	fold	dataset	rmse	nrmse_sd	nrmse_mean	nrmse_range	nrmse_iq
WT	1	1	training	2.01244362159385	0.944422103016388	-0.308351113713501	0.17559308487122	0.691750995935386
WT	1	1	testing	2.05275848833952	0.937636373771765	-0.316523793014165	0.192154664125524	0.708580839478743
WT	1	2	training	2.02144350283528	0.944740602930666	-0.310425086716004	0.176378357508774	0.690714868684538
WT	1	2	testing	1.96835474625493	0.913369485539882	-0.300814589888881	0.185799077165079	0.686008835453806
WT	1	3	training	2.03180987478496	0.943629409061171	-0.311103479746353	0.177867159646826	0.693878198016801
WT	1	3	testing	2.03136274476589	0.967414445180493	-0.314109636586131	0.19326052007369	0.700031848423513
WT	1	4	training	2.04348960976715	0.953434954648878	-0.313344767155467	0.178301961173508	0.69617681716403
WT	1	4	testing	2.00365429970317	0.935965955308423	-0.308029340950461	0.194050386879013	0.680428652663197
WT	1	5	training	2.03539676393519	0.950405029942922	-0.313132612418995	0.180770090801208	0.693108752650921
WT	1	5	testing	2.05199619002992	0.956178571511092	-0.311310503331938	0.187569395116233	0.713056856467572
WT	2	1	training	2.03542174062754	0.96269742375017	-0.312990932503167	0.180772309061069	0.696287765811007
WT	2	1	testing	2.09204320571835	0.929097329515001	-0.318047049605756	0.183140060237647	0.718362336080964
WT	2	2	training	2.0258174275297	0.945057716208751	-0.310909277450596	0.176759998475928	0.696683192319105
WT	2	2	testing	2.05242678305486	0.959287694432368	-0.31441285663521	0.203298448836574	0.70153528183894
WT	2	3	training	2.03887179214272	0.946637760335832	-0.312509372341154	0.178485368662184	0.695720490768985
WT	2	3	testing	1.93864023392294	0.923947673587197	-0.298512715574061	0.179603465374506	0.66582781358239
WT	2	4	training	2.05179696082393	0.947436859990562	-0.314146214670566	0.179026808013198	0.701030547618701
WT	2	4	testing	1.93942438780322	0.94783255951503	-0.300000165315106	0.200051418320796	0.678669551328399
WT	2	5	training	2.03217923591327	0.953640890057889	-0.311857411370298	0.177315089583795	0.694004337591824
WT	2	5	testing	2.06636575766065	0.943726774021217	-0.316666160261033	0.193442556969017	0.728063964996699
WT	3	1	training	2.06539212719998	0.963547755627747	-0.317378622580569	0.180213036127961	0.705656725521017
WT	3	1	testing	1.98949803888407	0.929981787931935	-0.303253652359344	0.199878798608902	0.692047063379393
WT	3	2	training	2.01847664446691	0.943024846997275	-0.309694960090307	0.176699952106879	0.688032708823987
WT	3	2	testing	1.98227923306158	0.921024642818938	-0.304013636496829	0.190039070308487	0.693546401150912
WT	3	3	training	2.04171990010162	0.954376978723953	-0.312959361299005	0.178147547516318	0.701814331175052
WT	3	3	testing	2.01296473558285	0.933483143854493	-0.309904247699689	0.188847176362706	0.667845536974212
WT	3	4	training	1.99592639532531	0.939582125423556	-0.305099634210275	0.178524408169389	0.682329467159884
WT	3	4	testing	2.08991695589905	0.94437593850266	-0.32535516714305	0.192015715081083	0.720535594609139
WT	3	5	training	2.0680466001998	0.957042367871282	-0.318168430378587	0.180444648630166	0.704753860042258
WT	3	5	testing	1.91854879435674	0.928451945302759	-0.291044085064297	0.181256168881865	0.680642346157577
WT	4	1	training	2.04412257009966	0.945405243028156	-0.313673403309437	0.178357189283351	0.701358118766722
WT	4	1	testing	1.97598653507814	0.958023515469648	-0.302878391529044	0.190297391730773	0.70472193401577
WT	4	2	training	2.00085408826884	0.934809215993316	-0.305963677685651	0.174581855594076	0.686703065451138
WT	4	2	testing	2.01130932432933	0.935405429961802	-0.312592448269105	0.186988031948686	0.686426787226268
WT	4	3	training	2.04661915048515	0.956839336156071	-0.314434448725102	0.178575025076023	0.699261462623176
WT	4	3	testing	1.99120633562337	0.922696632754621	-0.303729394738626	0.192111947961541	0.686864203275469
WT	4	4	training	1.99146859994836	0.938725925816386	-0.305447504634586	0.178125683405152	0.680400197478535
WT	4	4	testing	2.11965817210864	0.951805188242168	-0.325526294028266	0.189867450448611	0.750661188241628
WT	4	5	training	2.02934269532226	0.945833012584914	-0.311919100176451	0.177651179692788	0.688252001013185
WT	4	5	testing	2.0010318396645	0.938990606649514	-0.304735347839994	0.178981061496501	0.70043707126505
WT	5	1	training	2.02954981740005	0.946366604456673	-0.311490820206377	0.177085663177411	0.693967297305726
WT	5	1	testing	1.99821572387945	0.935663885827434	-0.30607763484632	0.200929491051997	0.682884635671344
WT	5	2	training	1.99857135967648	0.940938830648392	-0.306719507833464	0.174382679154471	0.682526997663636
WT	5	2	testing	2.06915218444265	0.933519040505351	-0.31701259871754	0.195484523973947	0.707875615282652
WT	5	3	training	2.00829257020609	0.948300990424393	-0.307261712312585	0.180237443431557	0.692678974824676
WT	5	3	testing	2.12554443348394	0.949674471669978	-0.329686672949223	0.185461545407517	0.744409697733434
WT	5	4	training	2.05599291142253	0.961440137922124	-0.31616949898766	0.179392920087927	0.702879231017834
WT	5	4	testing	2.06883683123781	0.958170993883764	-0.31441306577942	0.18908298689474	0.724580142224051
WT	5	5	training	2.05768580763408	0.942510900311305	-0.315574011186006	0.179540631489609	0.700965869892281
WT	5	5	testing	1.82117185259407	0.92402692518853	-0.279792629163051	0.173493684045876	0.63578640813222
pbp1d	1	1	training	2.04007136228004	0.936305007361526	-0.336782184616948	0.169053124167518	0.656776764526683
pbp1d	1	1	testing	2.09432940112318	0.973116615238528	-0.346844004468387	0.164346555802618	0.649484938789134
pbp1d	1	2	training	2.08611715807627	0.959290887196982	-0.345720295255698	0.163702123336813	0.669846221246229
pbp1d	1	2	testing	1.99389157989328	0.919934865645581	-0.325152994408403	0.188049112639954	0.666054440580866
pbp1d	1	3	training	2.00883484287881	0.937297713255072	-0.331196096365875	0.157637612987895	0.644586338553648
pbp1d	1	3	testing	2.17960697839024	0.951601528580628	-0.362850608511617	0.181904343243015	0.711307181077719
pbp1d	1	4	training	2.07070453645132	0.951695141108963	-0.341906595059388	0.162492661597609	0.664476594879689
pbp1d	1	4	testing	2.01094209111515	0.929020090263576	-0.332768261892574	0.189370284088991	0.653800220725327
pbp1d	1	5	training	2.09169724317245	0.954628614935988	-0.345449970596944	0.164140004677805	0.671401923320156
pbp1d	1	5	testing	1.9751752572444	0.940120661767812	-0.326564492084227	0.170903696756126	0.647851210650959
pbp1d	2	1	training	2.02712383523167	0.936183983361282	-0.334693388457303	0.160093921328794	0.65157838539992
pbp1d	2	1	testing	2.11220870395343	0.957356479154175	-0.34960165665981	0.169767599476611	0.669470592609211
pbp1d	2	2	training	2.10480486297491	0.956893664216396	-0.346875922833619	0.165168587940853	0.676841242492287
pbp1d	2	2	testing	1.96341804507363	0.950537957503553	-0.327385759273986	0.179158883221992	0.648511637584142
pbp1d	2	3	training	2.06139131594858	0.957021463674422	-0.340955384671635	0.16176183305066	0.661488038599406
pbp1d	2	3	testing	2.033557539193	0.903248073546887	-0.334184886991504	0.179433871564942	0.666109775657742
