pair,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pbp1Δ / WT,YMR056C_mRNA,48.7284414659074,0.669446163714599,0.55714511985729,1.20156515754114,0.229532047638673,1
pbp1Δ / WT,YBR085W_mRNA,268.439719700437,0.0465322715929791,0.237552945941064,0.195881686116928,0.844702771943433,1
pbp1Δ / WT,YJR155W_mRNA,101.5859326847,2.0899051851903,1.51719730538542,1.37747752238421,0.168364659576841,1
pbp1Δ / WT,YNL331C_mRNA,122.206689462408,0.498087104316781,1.58932012646568,0.313396335969409,0.753979567594016,1
pbp1Δ / WT,YOL165C_mRNA,11.3145054224088,0,1.77367367112642,0,1,1
pbp1Δ / WT,YCR107W_mRNA,183.109734790665,-0.405543105023,1.48416764060927,-0.273246157594785,0.784664000845961,1
pbp1Δ / WT,YDL243C_mRNA,63.4904376211092,0,1.73830533448038,0,1,1
pbp1Δ / WT,YNL141W_mRNA,3431.62716578561,-0.0534214776533696,0.210284386031112,-0.254043957621589,0.799461598516271,1
pbp1Δ / WT,YHR047C_mRNA,7866.80975592242,-0.043108371149813,0.264863564666371,-0.162756894116839,0.870709849132408,1
pbp1Δ / WT,YBL074C_mRNA,327.133615850803,0.038570779746512,0.262287172161527,0.147055532409944,0.883088188200595,1
pbp1Δ / WT,YKL106W_mRNA,1983.71470821893,0.0262220925711749,0.124986815287484,0.209798869671662,0.833824655303226,1
pbp1Δ / WT,YLR027C_mRNA,15872.2974511454,-0.0846844345269136,0.182019388125536,-0.46524952862993,0.641752773863372,1
pbp1Δ / WT,YBR236C_mRNA,1212.99065980789,0.0530164357484989,0.141159917797632,0.375577122568913,0.707231301186179,1
pbp1Δ / WT,YKL112W_mRNA,2017.79519953724,0.0914788199081674,0.233669825845907,0.391487516956909,0.695436913931286,1
pbp1Δ / WT,YMR072W_mRNA,1927.64888655431,0.143504819030026,0.229185756161162,0.626150688566851,0.531216107620154,1
pbp1Δ / WT,YJR108W_mRNA,25.5304203157356,-1.49689382830199,1.71923168279675,-0.870676037023078,0.383931066156433,1
pbp1Δ / WT,YCR088W_mRNA,5391.45144398266,0.251779620314934,0.164926472058865,1.52661738999104,0.126856180201885,1
pbp1Δ / WT,YOR239W_pre-mRNA,2704.68190822172,0.186120852274865,0.182068772833091,1.02225576291157,0.306659864553474,1
pbp1Δ / WT,YNR033W_mRNA,1388.21563976624,-0.275161624717395,0.272150854093657,-1.01106287405845,0.311986338073023,1
pbp1Δ / WT,YMR289W_mRNA,831.597264739503,0.1457914109179,0.242808435402591,0.600437998276992,0.548214370258266,1
pbp1Δ / WT,YER045C_mRNA,665.279253679737,0.148073095003196,0.306998387206317,0.482325318874344,0.629574863933403,1
pbp1Δ / WT,YGR037C_mRNA,4638.03703469172,0.250751960402971,0.196161121072208,1.27829591833678,0.201145106479042,1
pbp1Δ / WT,YNR016C_mRNA,58963.9944146997,-0.0314385249850973,0.283747585222319,-0.110797506736365,0.911776922515728,1
pbp1Δ / WT,YLR131C_mRNA,1918.74290550358,-0.164386835165691,0.233041082550388,-0.705398521868554,0.480562263621917,1
pbp1Δ / WT,YLR144C_mRNA,1236.21235781076,-0.248370735448123,0.264925528739006,-0.937511521182272,0.348495500202388,1
pbp1Δ / WT,YJR083C_mRNA,352.499982117022,0.187704666257567,0.261236116913188,0.718524943930104,0.472433673410708,1
pbp1Δ / WT,YBL015W_mRNA,970.413782267259,-0.0653674400160525,0.306843585715072,-0.213031795544037,0.831302162601568,1
pbp1Δ / WT,YDL203C_mRNA,873.663358480887,0.0927884456852265,0.254633743031439,0.364399645469493,0.715559600176354,1
pbp1Δ / WT,YPL267W_mRNA,404.070460590979,-0.120375807341702,0.242460601268364,-0.496475743737291,0.619558796851474,1
pbp1Δ / WT,YLR304C_mRNA,17929.8830792881,-0.0861255190276378,0.377808097197944,-0.227961019539807,0.819676544578714,1
pbp1Δ / WT,YJL200C_mRNA,4890.97106225516,-0.0779419691890282,0.335836585904619,-0.232083020315019,0.816473532689342,1
pbp1Δ / WT,YKL192C_mRNA,4507.09208248906,-0.0117550334253061,0.213090289089111,-0.0551645665110077,0.956007357758734,1
pbp1Δ / WT,YAL054C_mRNA,161.809097875518,0.649988067745796,0.753830398217818,0.86224709070167,0.388551561244918,1
pbp1Δ / WT,YLR153C_mRNA,21407.1304499363,-0.0380408498273457,0.321485832073207,-0.118328231082617,0.905807589360827,1
pbp1Δ / WT,YFL039C_mRNA,135894.704665894,0.0401026454618119,0.21463415884719,0.186841860015223,0.851784625255537,1
pbp1Δ / WT,YFL039C_pre-mRNA,157.187396294534,0,1.70027833439617,0,1,1
pbp1Δ / WT,YDR448W_mRNA,713.715349237301,-0.00683795615270207,0.193594569607568,-0.035321012188323,0.971823768479969,1
pbp1Δ / WT,YMR184W_mRNA,869.176761450155,0.133899042193544,0.310503215912866,0.431232384501677,0.66629940889858,1
pbp1Δ / WT,YKL206C_mRNA,1430.41553762767,-0.144508176991498,0.1981826824092,-0.729166520680767,0.465899807815928,1
pbp1Δ / WT,YAR015W_mRNA,2454.57936084296,0.0571830176835332,0.161160806741407,0.354819629162611,0.722724722018972,1
